"","city","boundary","parking","urban","open","nurban","sum"
"1","albany-ny",648791.962505943,141474.415458729,487859.92699001,1671.96827974693,2966.8543345844,632301.196783323
"2","albuquerque-nm",1162081.01495145,286106.515730622,835828.213395786,903.8283867836,1807.5916852951,1123742.3208117
"3","allentown-pa",746657.760587118,153815.187748195,561100.48992152,5583.83136517394,5583.83136517394,720499.509034888
"4","anaheim-ca",392924.147107102,96536.3086947684,282749.987255377,0,0,379286.295950145
"5","anchorage-ak",1114994.89335879,286581.161614431,0,0,0,286581.161614431
"6","arlington-tx",579277.212117529,167104.220223688,382136.631029557,260.965589125016,260.965589125016,549501.81684237
"7","atlanta-ga",3553989.26514879,697777.904052474,2771126.80735456,12381.0797113362,12840.1520690918,3481744.86347612
"8","aurora-co",512195.69234023,105924.191702149,384873.392839237,90.3966523750156,90.3966523750156,490887.981193761
"9","austin-tx",1173721.6251855,134291.671214195,981153.983321155,2696.10063171387,7236.21291732788,1122681.86745268
"10","bakersfield-ca",1331721.71779924,254772.273609349,1036330.30704245,4936.87551979364,4936.87551979364,1296039.45617159
"11","baltimore-md",2373533.89173097,270221.84283059,1942441.55519068,9885.44937324524,12800.4078812599,2225463.80590253
"12","baton-rouge-la",487535.068098187,121323.119666283,342410.730148789,0,0,463733.849815072
"13","birmingham-al",1438560.1338501,327295.773028796,1054748.9772172,2694.04776287079,2694.04776287079,1384738.79800887
"14","boston-ma",2701414.19199848,130272.786170278,2374416.35083434,10780.7058753967,12783.7557083279,2517472.89271295
"15","buffalo-ny",1894445.38813752,418213.757327202,1310861.96265294,3605.76267383052,7994.98476788951,1737070.70474803
"16","charleston-sc",1621020.12299493,276952.87450583,1245486.57470542,14992.8929917335,14992.8929917335,1537432.34220298
"17","charlotte-nc",2709093.50726766,539137.606391457,2080219.71623796,18860.2423124556,22599.5943515273,2641956.91698095
"18","chicago-il",1379506.04267663,67710.7766527973,1098545.02647853,0,3615.85016298294,1169871.65329431
"19","cincinnati-oh",1599666.98013156,248629.708345534,1245075.39848916,758.659272270577,12482.8659616283,1506187.97279632
"20","cleveland-oh",1854829.91493225,345075.036728659,1430518.9646858,3223.12591215208,4132.35872264937,1779726.36013711
"21","colorado-springs-co",1956035.02027408,300943.554580374,1548850.45117389,27622.2615587029,32124.0220200333,1881918.0277743
"22","columbia-sc",1197684.67495337,332225.60758816,803645.061407731,17085.0104416249,17085.0104416249,1152955.67943752
"23","columbus-oh",5001272.86889248,997962.292645893,3524240.98770794,15020.4589848518,15358.612956825,4537561.89331065
"24","corpus-christi-tx",716142.00398057,178488.959358204,420258.98233928,0,2295.98014486163,601043.921842345
"25","dallas-tx",2751254.45788006,561700.63498774,1770571.70886623,15220.0976448059,48452.1594519615,2380724.50330593
"26","dayton-oh",948533.881614097,204772.204495224,626811.562407649,2688.09415006638,2947.22514106339,834530.992043936
"27","denver-co",1695257.20637954,218049.073111362,1445191.96972965,1658.76423120499,1658.76423120499,1664899.80707222
"28","des-moines-ia",697780.953167653,136632.169636691,542299.31392883,0,0,678931.483565521
"29","detroit-mi",2080814.87988653,487456.194687465,1532952.7919572,4507.57327604294,4573.22226238812,2024982.20890706
"30","el-paso-tx",624755.112419123,108418.752313858,497767.90194955,0,0,606186.654263409
"31","fort-myers-fl",1511692.66298284,341554.267180901,832410.674567226,20247.5009151496,20247.5009151496,1194212.44266328
"32","fort-worth-tx",2835042.18145351,621338.65147218,2017352.33082507,30087.8817691841,32835.4128103294,2671526.39510758
"33","fresno-ca",1461614.96365153,375413.671177385,1028486.33811413,8106.22255992889,8106.22255992889,1412006.23185144
"34","grand-rapids-mi",1457711.50885848,304556.025686897,1023665.20582804,0,0,1328221.23151494
"35","greensboro-nc",1442849.40566764,340623.38795173,1046504.96238466,7929.26938589882,7929.26938589882,1395057.61972229
"36","harrisburg-pa",354048.836739884,79458.8354260713,260103.577905446,0,0,339562.413331517
"37","hartford-ct",1204804.78206562,231528.113448075,941486.518001825,4382.23707199845,5026.14206314835,1178040.77351305
"38","henderson-nv",420938.390957674,86756.3434041197,317109.284236057,4437.17177220513,4437.17177220513,408302.799412382
"39","honolulu-hi",672296.622855287,90489.3035523137,0,0,0,90489.3035523137
"40","houston-tx",3358882.21187796,648144.299577844,2620804.07983997,7697.39338452395,8631.82021672305,3277580.19963454
"41","indianapolis-in",3351366.49028961,674046.751355524,2585333.28769812,7191.74145126343,13506.5799002647,3272886.61895391
"42","jacksonville-fl",2707250.41530542,520302.903209944,1941333.94404596,33947.1441301944,35507.1154259644,2497143.96268187
"43","jersey-city-nj",1505783.38428504,281925.955480954,960324.429166909,0,4558.11512708664,1246808.49977495
"44","kansas-city-mo",1851276.24824996,397158.062297256,1400462.09934078,10880.0335383415,10880.0335383415,1808500.19517638
"45","knoxville-tn",939579.345692625,191442.147193658,713371.339591626,0,0,904813.486785285
"46","las-vegas-nv",1328314.41140279,329091.834152246,954965.648051707,0,891.865482330322,1284949.34768628
"47","lexington-ky",1045713.3261532,300950.426523164,699424.791933148,975.026542843089,975.026542843089,1001350.24499915
"48","lincoln-ne",1669737.44391984,332528.872030401,1297608.48917487,0,8.99260492885814,1630146.3538102
"49","little-rock-ar",1999555.67681104,507701.915771367,1321682.71737278,0,0,1829384.63314414
"50","long-beach-ca",4060536.88337854,537776.420073575,3024839.72329698,33486.7336570646,37106.0895001318,3599722.23287069
"51","los-angeles-ca",3676301.99564124,617772.522532007,2796383.66165937,5652.95521020889,7460.37055492401,3421616.5547463
"52","louisville-ky",1571620.18011977,355655.034863938,1128732.79018303,0,0,1484387.82504696
"53","madison-wi",1354378.97663982,173567.953899587,1073879.66245301,937.551531288671,937.551531288671,1248385.16788389
"54","mcallen-tx",711581.660765645,148148.529723646,530327.847596995,0,0,678476.377320641
"55","melbourne-fl",375460.464912322,98256.4749241005,235955.347541514,791.110595703125,791.110595703125,335002.933061317
"56","memphis-tn",958865.933435904,190801.079208535,674060.7480975,3634.50838327408,4522.93301820755,869384.760324243
"57","mesa-az",1110593.89604366,264683.26552637,794309.830955696,24587.2003899668,24587.2003899668,1083580.29687203
"58","miami-fl",2532010.37606758,347806.241350252,1497760.91113235,3075.20623970032,6505.3853263855,1852072.53780898
"59","milwaukee-wi",3021824.85207545,445593.30147345,2448630.5697951,5530.47329124189,5722.8521952573,2899946.72346381
"60","minneapolis-mn",1409710.43495928,197433.627834305,996601.417422839,5494.25369024277,7246.60225713206,1201281.64751428
"61","nashville-tn",4821713.68240331,853594.609528285,3542083.55908546,13006.5467447393,14918.4588976523,4410596.62751139
"62","new-haven-ct",1011855.84557237,259791.645951423,716950.829187414,183.834309101105,183.834309101105,976926.309447938
"63","new-orleans-la",2967786.89756325,460477.009333677,2237195.33871919,0,1943.00409126282,2699615.35214414
"64","new-york-ny",2239653.22420993,8018.22149753069,2222048.3559417,10740.1868813964,10740.1868813964,2240806.76432063
"65","newark-nj",998727.847787445,206958.674482463,762194.085311024,3617.32565116882,3617.32565116882,972770.085444655
"66","norfolk-va",1413521.05882192,259180.541541082,994327.397167519,4780.69298420139,5204.81828127094,1258712.75698987
"67","oakland-ca",1441025.02485763,146091.64466693,1209925.15156868,6021.61375815448,6021.61375815448,1362038.40999377
"68","oklahoma-city-ok",2218415.8659742,411812.125785729,1731013.74141885,3179.73108625038,5008.13843011482,2147834.0056347
"69","omaha-ne",2028765.41116915,342995.703563157,1452307.20038997,31311.6324330218,32372.9116521723,1827675.8156053
"70","orlando-fl",1279895.36937807,314582.752073882,876532.915386312,6875.97009472193,7773.98158840479,1198889.6490486
"71","philadelphia-pa",2968797.35759763,301080.636353649,2489980.00454357,7201.56513738632,24802.9200530333,2815863.56095026
"72","phoenix-az",1431294.84589851,241491.875928329,1166252.4381855,1804.89960956573,1804.89960956573,1409549.2137234
"73","pittsburgh-pa",1132304.12154522,133161.725218654,900301.032075974,1785.83338308334,2488.64983930401,1035951.40713393
"74","portland-or",2507845.09386882,212265.271836196,2007067.50197078,13491.5912542343,14387.2412509918,2233720.01505797
"75","providence-ri",1619118.83757178,325206.877948112,1176107.25361438,2807.76690244675,3826.79429382623,1505140.92585632
"76","raleigh-nc",2063427.99665572,433886.905091653,1549104.40398988,18848.2746677249,20652.5009209483,2003643.81000248
"77","richmond-va",1490586.6853148,277703.889687116,1127415.49146393,6219.31012223001,6219.31012223001,1411338.69127327
"78","riverside-ca",1264939.19625523,313056.020374987,893808.006942356,6275.55608892441,6275.55608892441,1213139.58340627
"79","rochester-ny",1689688.00327891,360977.226870778,1208715.93395057,1782.76212315279,2182.27205588397,1571875.43287723
"80","sacramento-ca",1114220.56658473,137171.605212137,955729.894703951,3617.9558339119,3617.9558339119,1096519.45575
"81","saint-paul-mn",1663560.89264132,220786.670964524,1298173.34781226,2707.2121014595,11731.6475151174,1530691.66629191
"82","salt-lake-city-ut",3577178.93447502,784397.149083043,2689276.66307337,29581.1101017615,29581.1101017615,3503254.92225817
"83","san-antonio-tx",4351470.89241732,944699.965779653,3211652.26500829,32425.5708296888,33378.4865263097,4189730.71731425
"84","san-bernardino-ca",1874135.6530048,686753.090718055,1080494.01873321,28575.1568133971,29383.529298586,1796630.63874985
"85","san-diego-ca",3701944.58813986,362556.305610355,3268506.91362673,15268.8133397102,15268.8133397102,3646332.03257679
"86","san-francisco-ca",1014956.59015228,20474.365395418,978840.825760061,5589.49760357352,5904.78798171399,1005219.97913719
"87","san-jose-ca",1310204.96638486,173662.505862278,1095340.76703424,13341.0175941505,13341.0175941505,1282344.29049067
"88","san-juan-pr",1059328.97705311,328074.601732074,0,0,0,328074.601732074
"89","santa-ana-ca",1032308.80687845,157295.456830799,849873.237125492,1843.18025049509,1843.18025049509,1009011.87420679
"90","santa-barbara-ca",1444395.16579766,293481.390605162,1075532.2159132,15930.4355877727,15930.4355877727,1384944.04210613
"91","sarasota-fl",1362133.66316197,299078.291019671,913015.959057659,541.538427829742,541.538427829742,1212635.78850516
"92","seattle-wa",3258416.85630685,220128.369218745,2738807.24845611,892.599113941193,9990.78915801703,2968926.40683288
"93","st.-louis-mo",3395006.47606607,672482.973807595,2626027.9292219,15871.0299790438,21276.8612173137,3319787.76424681
"94","st.-petersburg-fl",3014213.67998386,628851.090917233,1891761.45323111,17504.9158512396,17504.9158512396,2538117.45999958
"95","stockton-ca",1737531.68034776,297874.319294807,1128499.21811265,4930.67086076736,4930.67086076736,1431304.20826823
"96","tampa-fl",1412363.29026665,303236.853557575,887195.469781083,6296.33919620514,7806.99865465912,1198239.32199332
"97","toledo-oh",791556.518260933,162288.442667406,573009.649309069,1794.03021430969,1794.03021430969,737092.122190785
"98","tucson-az",380859.15998855,50802.8909688286,312912.555795707,1231.96207232943,9454.60890082191,373170.055665358
"99","tulsa-ok",3428649.38453512,791248.353720291,2519590.59979233,17094.5394611359,17094.5394611359,3327933.49297376
"100","virginia-beach-va",2077798.23569739,564697.919044647,1315137.88906295,12357.747106784,20114.3427725867,1899950.15088019
"101","washington-dc",3962421.36267885,115703.233305431,3804560.127751,22940.5732168684,24849.5617780854,3945112.92283452
"102","wichita-ks",1880106.6124538,497190.506851178,1175566.22653849,42.6636233329773,42.6636233329773,1672799.397013
"103","worcester-ma",1076759.51106641,281307.405635333,763606.670557744,0,0,1044914.07619308
